    Dens   Wtype     ROC HalfROC     Seq  ROCpin  SiCell  TrLink  TrCell      iu      iv       t
      HD       2       2       0       8       8     392       0       0      19      11       1
      HD       2       2       0       9       9     367       0       2      18       6       1
      HD       2       2       0      10      10     390       0       2      19       9       1
      HD       2       2       0      11      11     369       0       2      18       8       1
      HD       2       2       0      12      12     368       0       2      18       7       1
      HD       2       2       0      13      13     407       0       2      20      10       1
      HD       2       2       0      14      14     406       0       2      20       9       1
      HD       2       2       0      15      15     405       0       2      20       8       1
      HD       2       2       0      16      16     389       0       2      19       8       1
      HD       2       2       0      17      17     388       0       2      19       7       1
      HD       2       2       0      18  CALIB0     426      -1      -1      21      11       0
      HD       2       2       0      19      18     441       0       1      22      11       1
      HD       2       2       0      20      19     440       0       1      22      10       1
      HD       2       2       0      21      20     424       0       1      21      10       1
      HD       2       2       0      22      21     425       0       1      21      11       1
      HD       2       2       0      23      22     456       0       1      23      11       1
      HD       2       2       0      24      23     423       0       1      21       9       1
      HD       2       2       0      25      24     457       0       1      23      12       1
      HD       2       2       0      26      25     442       0       1      22      12       1
      HD       2       2       0      27      26     458       0       1      23      13       1
      HD       2       2       0      28      27     459       0       3      23      14       1
      HD       2       2       0      29      28     427       0       3      21      12       1
      HD       2       2       0      30      29     429       0       3      21      14       1
      HD       2       2       0      31      30     428       0       3      21      13       1
      HD       2       2       0      32      31     461       0       3      23      16       1
      HD       2       2       0      33      32     445       0       3      22      14       1
      HD       2       2       0      34      33     446       0       3      22      15       1
      HD       2       2       0      35      34     443       0       3      22      13       2
      HD       2       2       0      36      35     460       0       3      23      15       1
      HD       2       2       1       0      36     412       2       0      20      14       1
      HD       2       2       1       1      37     374       2       0      18      12       1
      HD       2       2       1       2      38     395       2       0      19      14       1
      HD       2       2       1       3      39     394       2       0      19      13       1
      HD       2       2       1       4      40     375       2       0      18      13       1
      HD       2       2       1       5      41     414       2       0      20      16       1
      HD       2       2       1       6      42     396       2       0      19      15       1
      HD       2       2       1       7      43     413       2       0      20      15       1
      HD       2       2       1       8      44     376       2       0      18      14       1
      HD       2       2       1       9      45     377       2       2      18      15       1
      HD       2       2       1      10      46     398       2       2      19      17       1
      HD       2       2       1      11      47     416       2       2      20      18       1
      HD       2       2       1      12      48     399       2       2      19      18       1
      HD       2       2       1      13      49     378       2       2      18      16       1
      HD       2       2       1      14      50     417       2       2      20      19       2
      HD       2       2       1      15      51     397       2       2      19      16       1
      HD       2       2       1      16      52     379       2       2      18      17       1
      HD       2       2       1      17      53     415       2       2      20      17       1
      HD       2       2       1      18  CALIB1     433      -1      -1      21      17       0
      HD       2       2       1      19      54     467       2       1      23      22       1
      HD       2       2       1      20      55     436       2       1      21      20       1
      HD       2       2       1      21      56     435       2       1      21      19       1
      HD       2       2       1      22      57     434       2       1      21      18       1
      HD       2       2       1      23      58     453       2       1      22      21       1
      HD       2       2       1      24      59     450       2       1      22      19       1
      HD       2       2       1      25      60     466       2       1      23      21       1
      HD       2       2       1      26      61     465       2       1      23      20       1
      HD       2       2       1      27      62     451       2       1      22      20       2
      HD       2       2       1      28      63     463       2       3      23      18       1
      HD       2       2       1      29      64     431       2       3      21      16       1
      HD       2       2       1      30      65     432       2       3      21      17       1
      HD       2       2       1      31      66     448       2       3      22      17       1
      HD       2       2       1      32      67     430       2       3      21      15       1
      HD       2       2       1      33      68     449       2       3      22      18       1
      HD       2       2       1      34      69     447       2       3      22      16       1
      HD       2       2       1      35      70     464       2       3      23      19       1
      HD       2       2       1      36      71     462       2       3      23      17       1
      HD       2       3       0       0       0     330       0       0      16       9       1
      HD       2       3       0       1       1     307       0       0      15       6       1
      HD       2       3       0       2       2     328       0       0      16       7       1
      HD       2       3       0       3       3     308       0       0      15       7       1
      HD       2       3       0       4       4     329       0       0      16       8       1
      HD       2       3       0       5       5     351       0       0      17       8       1
      HD       2       3       0       6       6     353       0       0      17      10       1
      HD       2       3       0       7       7     309       0       0      15       8       1
      HD       2       3       0       8       8     352       0       0      17       9       1
      HD       2       3       0       9       9     333       0       2      16      11       1
      HD       2       3       0      10      10     354       0       2      17      11       1
      HD       2       3       0      11      11     355       0       2      17      12       1
      HD       2       3       0      12      12     356       0       2      17      13       1
      HD       2       3       0      13      13     310       0       2      15       9       1
      HD       2       3       0      14      14     334       0       2      16      12       1
      HD       2       3       0      15      15     331       0       2      16      10       2
      HD       2       3       0      16      16     312       0       2      15      11       1
      HD       2       3       0      17      17     311       0       2      15      10       1
      HD       2       3       0      18  CALIB0     335      -1      -1      16      12       0
      HD       2       3       0      19      18     286       0       1      14       9       2
      HD       2       3       0      20      19     288       0       1      14      10       1
      HD       2       3       0      21      20     285       0       1      14       8       1
      HD       2       3       0      22      21     264       0       1      13       9       1
      HD       2       3       0      23      22     263       0       1      13       8       1
      HD       2       3       0      24      23     237       0       1      12       8       2
      HD       2       3       0      25      24     235       0       1      12       6       1
      HD       2       3       0      26      25     236       0       1      12       7       1
      HD       2       3       0      27      26     262       0       1      13       7       1
      HD       2       3       0      28      27     210       0       3      11       5       1
      HD       2       3       0      29      28     212       0       3      11       7       1
      HD       2       3       0      30      29     186       0       3      10       5       1
      HD       2       3       0      31      30     188       0       3      10       7       2
      HD       2       3       0      32      31     211       0       3      11       6       1
      HD       2       3       0      33      32     213       0       3      11       8       1
      HD       2       3       0      34      33     187       0       3      10       6       1
      HD       2       3       0      35      34     190       0       3      10       8       1
      HD       2       3       0      36      35     185       0       3      10       4       1
      HD       2       3       1       0      36     350       2       0      17       7       1
      HD       2       3       1       1      37     326       2       0      16       5       1
      HD       2       3       1       2      38     327       2       0      16       6       1
      HD       2       3       1       3      39     305       2       0      15       5       1
      HD       2       3       1       4      40     349       2       0      17       6       1
      HD       2       3       1       5      41     304       2       0      15       4       1
      HD       2       3       1       6      42     325       2       0      16       4       1
      HD       2       3       1       7      43     303       2       0      15       3       1
      HD       2       3       1       8      44     348       2       0      17       5       1
      HD       2       3       1       9      45     231       2       2      12       2       1
      HD       2       3       1      10      46     281       2       2      14       4       1
      HD       2       3       1      11      47     280       2       2      14       3       1
      HD       2       3       1      12      48     256       2       2      13       1       1
      HD       2       3       1      13      49     258       2       2      13       3       1
      HD       2       3       1      14      50     279       2       2      14       2       1
      HD       2       3       1      15      51     230       2       2      12       1       1
      HD       2       3       1      16      52     257       2       2      13       2       1
      HD       2       3       1      17      53     229       2       2      12       0       1
      HD       2       3       1      18  CALIB1     306      -1      -1      15       5       0
      HD       2       3       1      19      54     233       2       1      12       4       1
      HD       2       3       1      20      55     284       2       1      14       7       1
      HD       2       3       1      21      56     232       2       1      12       3       1
      HD       2       3       1      22      57     259       2       1      13       4       1
      HD       2       3       1      23      58     260       2       1      13       5       1
      HD       2       3       1      24      59     282       2       1      14       5       1
      HD       2       3       1      25      60     283       2       1      14       6       1
      HD       2       3       1      26      61     261       2       1      13       6       1
      HD       2       3       1      27      62     234       2       1      12       5       1
      HD       2       3       1      28      63     183       2       3      10       2       1
      HD       2       3       1      29      64     205       2       3      11       0       1
      HD       2       3       1      30      65     206       2       3      11       1       1
      HD       2       3       1      31      66     181       2       3      10       0       1
      HD       2       3       1      32      67     209       2       3      11       4       1
      HD       2       3       1      33      68     182       2       3      10       1       1
      HD       2       3       1      34      69     184       2       3      10       3       1
      HD       2       3       1      35      70     208       2       3      11       3       1
      HD       2       3       1      36      71     207       2       3      11       2       1
