    Dens   Wtype     ROC HalfROC     Seq  ROCpin  SiCell  TrLink  TrCell      iu      iv       t
      HD       0       0       0      14      14      29       0       2       2       3       1
      HD       0       0       0      15      15      17       0       2       1       4       1
      HD       0       0       0      16      16       5       0       2       0       4       1
      HD       0       0       0      17      17       4       0       2       0       3       1
      HD       0       0       0      18  CALIB0      30      -1      -1       2       3       0
      HD       0       0       0      19      18       3       0       1       0       2       1
      HD       0       0       0      20      19       2       0       1       0       1       1
      HD       0       0       0      21      20       1       0       1       0       0       1
      HD       0       0       0      22      21      15       0       1       1       2       1
      HD       0       0       0      23      22      14       0       1       1       1       1
      HD       0       0       0      24      23      27       0       1       2       1       1
      HD       0       0       0      25      24      13       0       1       1       0       1
      HD       0       0       0      26      25      28       0       1       2       2       1
      HD       0       0       0      27      26      26       0       1       2       0       1
      HD       0       0       0      28      27      73       0       3       5       0       1
      HD       0       0       0      29      28      59       0       3       4       2       1
      HD       0       0       0      30      29      44       0       3       3       2       1
      HD       0       0       0      31      30      43       0       3       3       1       1
      HD       0       0       0      32      31      75       0       3       5       2       1
      HD       0       0       0      33      32      58       0       3       4       1       1
      HD       0       0       0      34      33      74       0       3       5       1       1
      HD       0       0       0      35      34      42       0       3       3       0       1
      HD       0       0       0      36      35      57       0       3       4       0       1
      HD       0       0       1       0      36      95       2       0       6       4       1
      HD       0       0       1       1      37     114       2       0       7       5       1
      HD       0       0       1       2      38      96       2       0       6       5       1
      HD       0       0       1       3      39      94       2       0       6       3       1
      HD       0       0       1       4      40     113       2       0       7       4       1
      HD       0       0       1       5      41     112       2       0       7       3       1
      HD       0       0       1       6      42     132       2       0       8       4       1
      HD       0       0       1       7      43     131       2       0       8       3       1
      HD       0       0       1       8      44     133       2       0       8       5       1
      HD       0       0       1       9      45     175       2       2      10       4       1
      HD       0       0       1      10      46     154       2       2       9       5       1
      HD       0       0       1      11      47     153       2       2       9       4       1
      HD       0       0       1      12      48     176       2       2      10       5       1
      HD       0       0       1      13      49     152       2       2       9       3       1
      HD       0       0       1      14      50     198       2       2      11       5       1
      HD       0       0       1      15      51     197       2       2      11       4       1
      HD       0       0       1      16      52     174       2       2      10       3       1
      HD       0       0       1      17      53     196       2       2      11       3       1
      HD       0       0       1      18  CALIB1     151      -1      -1       9       2       0
      HD       0       0       1      19      54     194       2       1      11       1       1
      HD       0       0       1      20      55     171       2       1      10       0       1
      HD       0       0       1      21      56     195       2       1      11       2       1
      HD       0       0       1      22      57     193       2       1      11       0       1
      HD       0       0       1      23      58     173       2       1      10       2       1
      HD       0       0       1      24      59     172       2       1      10       1       1
      HD       0       0       1      25      60     150       2       1       9       2       1
      HD       0       0       1      26      61     149       2       1       9       1       1
      HD       0       0       1      27      62     148       2       1       9       0       1
      HD       0       0       1      28      63     109       2       3       7       0       1
      HD       0       0       1      29      64     130       2       3       8       2       1
      HD       0       0       1      30      65     111       2       3       7       2       1
      HD       0       0       1      31      66     110       2       3       7       1       1
      HD       0       0       1      32      67      92       2       3       6       1       1
      HD       0       0       1      33      68      93       2       3       6       2       1
      HD       0       0       1      34      69      91       2       3       6       0       1
      HD       0       0       1      35      70     129       2       3       8       1       1
      HD       0       0       1      36      71     128       2       3       8       0       1
      HD       0       1       0       0       0     117       0       0       7       8       1
      HD       0       1       0       1       1     136       0       0       8       8       1
      HD       0       1       0       2       2      99       0       0       6       8       1
      HD       0       1       0       3       3      98       0       0       6       7       1
      HD       0       1       0       4       4     116       0       0       7       7       1
      HD       0       1       0       5       5      97       0       0       6       6       1
      HD       0       1       0       6       6     134       0       0       8       6       1
      HD       0       1       0       7       7     135       0       0       8       7       1
      HD       0       1       0       8       8     115       0       0       7       6       1
      HD       0       1       0       9       9     177       0       2      10       6       1
      HD       0       1       0      10      10     156       0       2       9       7       1
      HD       0       1       0      11      11     155       0       2       9       6       1
      HD       0       1       0      12      12     199       0       2      11       6       1
      HD       0       1       0      13      13     157       0       2       9       8       1
      HD       0       1       0      14      14     178       0       2      10       7       1
      HD       0       1       0      15      15     200       0       2      11       7       1
      HD       0       1       0      16      16     179       0       2      10       8       1
      HD       0       1       0      17      17     201       0       2      11       8       1
      HD       0       1       0      18  CALIB0     158      -1      -1       9       8       0
      HD       0       1       0      19      18     202       0       1      11       9       1
      HD       0       1       0      20      19     159       0       1       9       9       1
      HD       0       1       0      21      20     203       0       1      11      10       1
      HD       0       1       0      22      21     180       0       1      10       9       1
      HD       0       1       0      23      22     204       0       1      11      11       1
      HD       0       1       0      24      23     182       0       1      10      11       1
      HD       0       1       0      25      24     181       0       1      10      10       1
      HD       0       1       0      26      25     160       0       1       9      10       1
      HD       0       1       0      27      26     161       0       1       9      11       1
      HD       0       1       0      28      27     119       0       3       7      10       1
      HD       0       1       0      29      28     139       0       3       8      11       1
      HD       0       1       0      30      29     137       0       3       8       9       1
      HD       0       1       0      31      30     138       0       3       8      10       1
      HD       0       1       0      32      31     100       0       3       6       9       1
      HD       0       1       0      33      32     101       0       3       6      10       1
      HD       0       1       0      34      33     118       0       3       7       9       1
      HD       0       1       0      35      34     120       0       3       7      11       1
      HD       0       1       0      36      35     102       0       3       6      11       1
      HD       0       1       1       0      36      63       2       0       4       6       1
      HD       0       1       1       1      37      48       2       0       3       6       1
      HD       0       1       1       2      38      50       2       0       3       8       1
      HD       0       1       1       3      39      79       2       0       5       6       1
      HD       0       1       1       4      40      80       2       0       5       7       1
      HD       0       1       1       5      41      81       2       0       5       8       1
      HD       0       1       1       6      42      49       2       0       3       7       1
      HD       0       1       1       7      43      65       2       0       4       8       1
      HD       0       1       1       8      44      64       2       0       4       7       1
      HD       0       1       1       9      45      19       2       2       1       6       1
      HD       0       1       1      10      46      33       2       2       2       6       1
      HD       0       1       1      11      47      34       2       2       2       7       1
      HD       0       1       1      12      48       7       2       2       0       6       1
      HD       0       1       1      13      49       8       2       2       0       7       1
      HD       0       1       1      14      50      20       2       2       1       7       1
      HD       0       1       1      15      51      35       2       2       2       8       1
      HD       0       1       1      16      52      21       2       2       1       8       1
      HD       0       1       1      17      53       9       2       2       0       8       1
      HD       0       1       1      18  CALIB1      37      -1      -1       2       9       0
      HD       0       1       1      19      54      36       2       1       2       9       1
      HD       0       1       1      20      55      11       2       1       0      10       1
      HD       0       1       1      21      56      22       2       1       1       9       1
      HD       0       1       1      22      57      10       2       1       0       9       1
      HD       0       1       1      23      58      23       2       1       1      10       1
      HD       0       1       1      24      59      24       2       1       1      11       1
      HD       0       1       1      25      60      38       2       1       2      10       1
      HD       0       1       1      26      61      39       2       1       2      11       1
      HD       0       1       1      27      62      12       2       1       0      11       1
      HD       0       1       1      28      63      51       2       3       3       9       1
      HD       0       1       1      29      64      82       2       3       5       9       1
      HD       0       1       1      30      65      66       2       3       4       9       1
      HD       0       1       1      31      66      52       2       3       3      10       1
      HD       0       1       1      32      67      53       2       3       3      11       1
      HD       0       1       1      33      68      83       2       3       5      10       1
      HD       0       1       1      34      69      68       2       3       4      11       1
      HD       0       1       1      35      70      67       2       3       4      10       1
      HD       0       1       1      36      71      84       2       3       5      11       1
      HD       0       2       0       0       0     391       0       0      20      13       1
      HD       0       2       0       1       1     390       0       0      20      12       1
      HD       0       2       0       2       2     354       0       0      18      11       1
      HD       0       2       0       3       3     372       0       0      19      12       1
